
dump sentences\V-587_7_.txt	x-rays	cat	released by	PART-OF	[VBN, IN]	2
dump sentences\A-191_20_.txt	iron	chicken	in	PART-OF	[IN]	2
dump sentences\T-723_3_.txt	heterocyclic amines	chicken	in	PART-OF	[IN]	2
dump sentences\V-1161_1_.txt	heterocyclic amines	chicken	in	PART-OF	[IN]	2
dump sentences\T-1911_34_.txt	arachidonic acid	chicken	in	PART-OF	[IN]	2
dump sentences\A-231_21_.txt	preservatives	chicken	in	PART-OF	[IN]	2
dump sentences\A-198_27_.txt	phosphate additives	chicken	in	PART-OF	[IN]	2
dump sentences\A-241_39_.txt	phosphate additives	chicken	in	PART-OF	[IN]	2
dump sentences\A-232_12_.txt	phosphate additives	chicken	in	PART-OF	[IN]	2
dump sentences\A-113_33_.txt	phosphate additives	chicken	in	PART-OF	[IN]	2
dump sentences\A-80_27_.txt	carcinogens	chicken	in	PART-OF	[IN]	2
dump sentences\V-379_21_.txt	carcinogens	chicken	in	PART-OF	[IN]	2
dump sentences\A-182_17_.txt	heme iron	muscle	in	PART-OF	[IN]	2
dump sentences\V-470_17_.txt	heme iron	muscle	in	PART-OF	[IN]	2
dump sentences\V-767_10_.txt	muscle	death	in	PART-OF	[IN]	2
dump sentences\A-182_17_.txt	iron	muscle	in	PART-OF	[IN]	2
dump sentences\V-470_17_.txt	iron	muscle	in	PART-OF	[IN]	2
dump sentences\V-828_18_.txt	heavy metals	creatine	in	PART-OF	[IN]	2
dump sentences\V-354_24_.txt	nitrates	celery	in	PART-OF	[IN]	2
dump sentences\A-52_18_.txt	nitrates	celery	in	PART-OF	[IN]	2
dump sentences\T-1573_3_.txt	symptoms	fibromyalgia	in	PART-OF	[IN]	2
dump sentences\V-619_8_.txt	lignans	sesame seeds	in	PART-OF	[IN]	2
dump sentences\A-339_17_.txt	lignans	sesame seeds	in	PART-OF	[IN]	2
dump sentences\V-260_0_.txt	lignans	flaxseeds	in	PART-OF	[IN]	2
dump sentences\T-358_11_.txt	chemical pollutants	meat	in	PART-OF	[IN]	2
dump sentences\T-374_9_.txt	chemical pollutants	meat	in	PART-OF	[IN]	2
dump sentences\T-360_9_.txt	chemical pollutants	meat	in	PART-OF	[IN]	2
dump sentences\T-1208_28_.txt	chemical pollutants	meat	in	PART-OF	[IN]	2
dump sentences\V-267_1_.txt	chemical pollutants	pregnancy	in	PART-OF	[IN]	2
dump sentences\T-1599_8_.txt	pigment	turmeric	in	PART-OF	[IN]	2
dump sentences\V-263_21_.txt	pigment	turmeric	in	PART-OF	[IN]	2
dump sentences\V-27_4_.txt	pigment	turmeric	in	PART-OF	[IN]	2
dump sentences\A-214_34_.txt	pigment	turmeric	in	PART-OF	[IN]	2
dump sentences\A-379_22_.txt	oxalates	turmeric	in	PART-OF	[IN]	2
dump sentences\T-1350_16_.txt	curcumin	turmeric	in	PART-OF	[IN]	2
dump sentences\T-570_16_.txt	curcumin	turmeric	in	PART-OF	[IN]	2
dump sentences\A-152_25_.txt	curcumin	turmeric	in	PART-OF	[IN]	2
dump sentences\A-210_14_.txt	curcumin	turmeric	in	PART-OF	[IN]	2
dump sentences\V-498_10_.txt	curcumin	turmeric	in	PART-OF	[IN]	2
dump sentences\T-301_10_.txt	phytates	legumes	in	PART-OF	[IN]	2
dump sentences\T-1482_5_.txt	polyphenols	legumes	in	PART-OF	[IN]	2
dump sentences\V-59_22_.txt	vomiting	pregnancy	in	PART-OF	[IN]	2
dump sentences\V-59_26_.txt	vomiting	pregnancy	in	PART-OF	[IN]	2
dump sentences\V-127_1_.txt	vomiting	pregnancy	in	PART-OF	[IN]	2
dump sentences\T-1623_30_.txt	acrylamide	french fries	in	PART-OF	[IN]	2
dump sentences\T-510_11_.txt	acrylamide	french fries	in	PART-OF	[IN]	2
dump sentences\A-190_64_.txt	acrylamide	french fries	in	PART-OF	[IN]	2
dump sentences\A-40_21_.txt	mint leaves	water	in	PART-OF	[IN]	2
dump sentences\T-730_10_.txt	pesticides	water	in	PART-OF	[IN]	2
dump sentences\V-353_0_.txt	estrogenic compounds	water	in	PART-OF	[IN]	2
dump sentences\V-142_27_.txt	vinegar	water	in	PART-OF	[IN]	2
dump sentences\T-1503_3_.txt	potatoes	water	in	PART-OF	[IN]	2
dump sentences\V-297_20_.txt	potatoes	water	in	PART-OF	[IN]	2
dump sentences\V-1111_9_.txt	beans	water	in	PART-OF	[IN]	2
dump sentences\A-350_20_.txt	water	nettle tea	in	PART-OF	[IN]	2
dump sentences\T-1568_7_.txt	phytonutrients	raisins	in	PART-OF	[IN]	2
dump sentences\V-604_6_.txt	vitamin c	apples	in	PART-OF	[IN]	2
dump sentences\A-323_6_.txt	vitamin c	apples	in	PART-OF	[IN]	2
dump sentences\A-371_24_.txt	fungal toxins	apples	in	PART-OF	[IN]	2
dump sentences\A-371_24_.txt	toxins	apples	in	PART-OF	[IN]	2
dump sentences\A-446_11_.txt	tangeretin	apples	in	PART-OF	[IN]	2
dump sentences\V-820_6_.txt	tangeretin	apples	in	PART-OF	[IN]	2
dump sentences\V-900_11_.txt	mercury	triphala	in	PART-OF	[IN]	2
dump sentences\V-900_11_.txt	lead	triphala	in	PART-OF	[IN]	2
dump sentences\V-297_31_.txt	pesticides	meat	in	PART-OF	[IN]	2
dump sentences\V-97_2_.txt	pesticides	milk	in	PART-OF	[IN]	2
dump sentences\V-97_4_.txt	pesticides	milk	in	PART-OF	[IN]	2
dump sentences\V-297_29_.txt	pesticides	animal products	in	PART-OF	[IN]	2
dump sentences\A-398_2_.txt	pesticides	chinese	in	PART-OF	[IN]	2
dump sentences\V-702_3_.txt	pesticides	children	in	PART-OF	[IN]	2
dump sentences\A-174_33_.txt	ddt	umbilical cord blood	in	PART-OF	[IN]	2
dump sentences\A-397_24_.txt	ddt	umbilical cord blood	in	PART-OF	[IN]	2
dump sentences\A-220_13_.txt	ddt	umbilical cord blood	in	PART-OF	[IN]	2
dump sentences\A-423_81_.txt	listeria	deli meats	in	PART-OF	[IN]	2
dump sentences\A-136_3_.txt	treatment	diabetes	in	PART-OF	[IN]	2
dump sentences\V-430_1_.txt	treatment	diabetes	in	PART-OF	[IN]	2
dump sentences\V-482_12_.txt	treatment	cardiovascular disease	in	PART-OF	[IN]	2
dump sentences\A-191_11_.txt	treatment	cardiovascular disease	in	PART-OF	[IN]	2
dump sentences\A-80_35_.txt	treatment	gerson therapy	in	PART-OF	[IN]	2
dump sentences\A-17_30_.txt	immune function	athletes	in	PART-OF	[IN]	2
dump sentences\A-243_36_.txt	immune function	athletes	in	PART-OF	[IN]	2
dump sentences\T-446_4_.txt	immune function	athletes	in	PART-OF	[IN]	2
dump sentences\A-223_23_.txt	immune function	athletes	in	PART-OF	[IN]	2
dump sentences\T-262_17_.txt	immune function	athletes	in	PART-OF	[IN]	2
dump sentences\A-11_4_.txt	immune function	athletes	in	PART-OF	[IN]	2
dump sentences\V-521_6_.txt	dha	fish	in	PART-OF	[IN]	2
dump sentences\A-235_8_.txt	dha	fish	in	PART-OF	[IN]	2
dump sentences\A-236_13_.txt	dha	fish	in	PART-OF	[IN]	2
dump sentences\V-23_13_.txt	infection	livestock	in	PART-OF	[IN]	2
dump sentences\A-18_32_.txt	sodium	dietary guidelines	in	PART-OF	[IN]	2
dump sentences\V-1080_16_.txt	muscle damage	statin	in	PART-OF	[IN]	2
dump sentences\T-225_3_.txt	fluorosis	children	in	PART-OF	[IN]	2
dump sentences\T-865_7_.txt	fluorosis	children	in	PART-OF	[IN]	2
dump sentences\V-625_16_.txt	fecal contamination	poultry	in	PART-OF	[IN]	2
dump sentences\A-231_18_.txt	fish	fecal contamination	in	PART-OF	[IN]	2
dump sentences\V-305_6_.txt	intestinal infections	baby	in	PART-OF	[IN]	2
dump sentences\A-2_10_.txt	intestinal infections	baby	in	PART-OF	[IN]	2
dump sentences\V-305_6_.txt	infections	baby	in	PART-OF	[IN]	2
dump sentences\A-2_10_.txt	infections	baby	in	PART-OF	[IN]	2
dump sentences\T-1020_0_.txt	isoflavones	soy foods	in	PART-OF	[IN]	2
dump sentences\V-636_17_.txt	phytonutrients	soy foods	in	PART-OF	[IN]	2
dump sentences\V-445_17_.txt	dna	plants	in	PART-OF	[IN]	2
dump sentences\A-154_17_.txt	dna	plants	in	PART-OF	[IN]	2
dump sentences\V-97_18_.txt	contaminants	milk	in	PART-OF	[IN]	2
dump sentences\A-163_14_.txt	contaminants	animal products	in	PART-OF	[IN]	2
dump sentences\V-1256_5_.txt	contaminants	fish	in	PART-OF	[IN]	2
dump sentences\V-223_18_.txt	contaminants	fish	in	PART-OF	[IN]	2
dump sentences\A-165_26_.txt	polycyclic aromatic hydrocarbons	meat fumes	in	PART-OF	[IN]	2
dump sentences\V-1223_6_.txt	benzene	cigarette	in	PART-OF	[IN]	2
dump sentences\V-18_27_.txt	glycotoxins	cigarette	in	PART-OF	[IN]	2
dump sentences\A-141_35_.txt	toxins	cigarette	in	PART-OF	[IN]	2
dump sentences\T-1347_3_.txt	dioxins	cigarette	in	PART-OF	[IN]	2
dump sentences\V-354_3_.txt	carcinogens	cigarette	in	PART-OF	[IN]	2
dump sentences\V-877_3_.txt	carcinogens	cigarette	in	PART-OF	[IN]	2
dump sentences\A-52_5_.txt	carcinogens	cigarette	in	PART-OF	[IN]	2
dump sentences\V-670_3_.txt	chronic inflammation	atherosclerosis	in	PART-OF	[IN]	2
dump sentences\A-241_14_.txt	phosphorus	plant foods	in	PART-OF	[IN]	2
dump sentences\V-527_8_.txt	phosphorus	plant foods	in	PART-OF	[IN]	2
dump sentences\A-241_14_.txt	phosphorus	plant	in	PART-OF	[IN]	2
dump sentences\V-527_8_.txt	phosphorus	plant	in	PART-OF	[IN]	2
dump sentences\V-101_126_.txt	emphysema	smoking	in	PART-OF	[IN]	2
dump sentences\V-16_140_.txt	emphysema	smoking	in	PART-OF	[IN]	2
dump sentences\A-448_36_.txt	emphysema	smoking	in	PART-OF	[IN]	2
dump sentences\V-831_16_.txt	emphysema	smoking	in	PART-OF	[IN]	2
dump sentences\A-218_29_.txt	goji berries	milk	in	PART-OF	[IN]	2
dump sentences\A-256_30_.txt	cholesterol	egg	in	PART-OF	[IN]	2
dump sentences\V-449_1_.txt	cholesterol	atherosclerosis	in	PART-OF	[IN]	2
dump sentences\V-32_3_.txt	age	cholesterol	in	PART-OF	[IN]	2
dump sentences\A-157_22_.txt	cholesterol	eggs	in	PART-OF	[IN]	2
dump sentences\V-610_40_.txt	cholesterol	eggs	in	PART-OF	[IN]	2
dump sentences\V-539_17_.txt	cholesterol	eggs	in	PART-OF	[IN]	2
dump sentences\T-346_3_.txt	cholesterol	cake	in	PART-OF	[IN]	2
dump sentences\V-391_11_.txt	dementia	alzheimer's	in	PART-OF	[IN, NN]	2
dump sentences\V-104_0_.txt	agent	beer	in	PART-OF	[IN]	2
dump sentences\V-842_1_.txt	agent	poultry	in	PART-OF	[IN]	2
dump sentences\A-89_12_.txt	agent	atherosclerosis	in	PART-OF	[IN]	2
dump sentences\V-388_9_.txt	agent	atherosclerosis	in	PART-OF	[IN]	2
dump sentences\V-617_4_.txt	seeds	breast cancer	in	PART-OF	[IN]	2
dump sentences\T-302_23_.txt	seeds	breast cancer	in	PART-OF	[IN]	2
dump sentences\A-166_8_.txt	phytosterols	seeds	in	PART-OF	[IN]	2
dump sentences\V-455_3_.txt	phytosterols	seeds	in	PART-OF	[IN]	2
dump sentences\A-387_27_.txt	ractopamine	pork	in	PART-OF	[IN]	2
dump sentences\A-423_37_.txt	ractopamine	pork	in	PART-OF	[IN]	2
dump sentences\A-240_21_.txt	ractopamine	pork	in	PART-OF	[IN]	2
dump sentences\V-750_2_.txt	phytonutrients	nuts	in	PART-OF	[IN]	2
dump sentences\V-1282_0_.txt	monounsaturated fats	nuts	in	PART-OF	[IN]	2
dump sentences\T-1446_26_.txt	phytonutrients	flax seeds	in	PART-OF	[IN]	2
dump sentences\V-24_10_.txt	phytoestrogens	flax seeds	in	PART-OF	[IN]	2
dump sentences\V-657_24_.txt	sugar	apple	in	PART-OF	[IN]	2
dump sentences\V-244_5_.txt	sugar	apple	in	PART-OF	[IN]	2
dump sentences\A-432_4_.txt	arsenic	apple	in	PART-OF	[IN]	2
dump sentences\A-173_22_.txt	arsenic	apple	in	PART-OF	[IN]	2
dump sentences\V-462_15_.txt	arsenic	apple	in	PART-OF	[IN]	2
dump sentences\T-1982_4_.txt	patulin	apple	in	PART-OF	[IN]	2
dump sentences\V-191_21_.txt	vitamin c	cancer treatment	in	PART-OF	[IN]	2
dump sentences\A-80_35_.txt	cancer treatment	gerson therapy	in	PART-OF	[IN]	2
dump sentences\T-298_1_.txt	antioxidants	white bread	in	PART-OF	[IN]	2
dump sentences\V-1042_1_.txt	worm	fish	in	PART-OF	[IN]	2
dump sentences\V-936_3_.txt	rickets	children	in	PART-OF	[IN]	2
dump sentences\T-1175_20_.txt	ammonia	fast food	in	PART-OF	[IN]	2
dump sentences\V-993_11_.txt	penis size	infant	in	PART-OF	[IN]	2
dump sentences\A-195_16_.txt	aids	weight loss	in	PART-OF	[IN]	2
dump sentences\V-871_10_.txt	vitamin c	beet juice	in	PART-OF	[IN]	2
dump sentences\T-1352_9_.txt	carbohydrates	orange	in	PART-OF	[IN]	2
dump sentences\T-1352_9_.txt	carbohydrates	orange juice	in	PART-OF	[IN]	2
dump sentences\V-44_3_.txt	phytonutrients	cocoa	in	PART-OF	[IN]	2
dump sentences\A-3_18_.txt	diet	adolescence	in	PART-OF	[IN]	2
dump sentences\V-105_6_.txt	infertility	sheep	in	PART-OF	[IN]	2
dump sentences\A-443_16_.txt	estrogen	skim milk	in	PART-OF	[IN]	2
dump sentences\V-822_0_.txt	estrogen	skim milk	in	PART-OF	[IN]	2
dump sentences\T-103_4_.txt	leucine	protein	in	PART-OF	[IN]	2
dump sentences\V-20_12_.txt	soy protein	miso	in	PART-OF	[IN]	2
dump sentences\A-441_16_.txt	brain damage	adolescents	in	PART-OF	[IN]	2
dump sentences\V-251_5_.txt	heme iron	meat	in	PART-OF	[IN]	2
dump sentences\V-503_7_.txt	heme iron	animal products	in	PART-OF	[IN]	2
dump sentences\T-1299_1_.txt	neurotoxins	meat	in	PART-OF	[IN]	2
dump sentences\V-97_16_.txt	neurotoxins	dairy	in	PART-OF	[IN]	2
dump sentences\T-290_29_.txt	neurotoxins	fish	in	PART-OF	[IN]	2
dump sentences\T-289_29_.txt	neurotoxins	fish	in	PART-OF	[IN]	2
dump sentences\V-480_5_.txt	meat glue	salmon	in	PART-OF	[IN]	2
dump sentences\A-427_25_.txt	zinc	plant foods	in	PART-OF	[IN]	2
dump sentences\T-1446_3_.txt	plant foods	cancer prevention	in	PART-OF	[IN]	2
dump sentences\V-326_23_.txt	phytonutrients	plant foods	in	PART-OF	[IN]	2
dump sentences\V-250_5_.txt	phytonutrients	plant foods	in	PART-OF	[IN]	2
dump sentences\A-23_27_.txt	phytonutrients	plant foods	in	PART-OF	[IN]	2
dump sentences\A-253_17_.txt	carbs	plant foods	in	PART-OF	[IN]	2
dump sentences\V-537_17_.txt	carbs	plant foods	in	PART-OF	[IN]	2
dump sentences\A-420_6_.txt	phytosterols	plant foods	in	PART-OF	[IN]	2
dump sentences\V-756_0_.txt	phytosterols	plant foods	in	PART-OF	[IN]	2
dump sentences\V-160_9_.txt	potassium	plant foods	in	PART-OF	[IN]	2
dump sentences\T-1911_17_.txt	angiogenesis inhibitors	plant foods	in	PART-OF	[IN]	2
dump sentences\T-343_2_.txt	cadmium	plant foods	in	PART-OF	[IN]	2
dump sentences\V-483_13_.txt	antioxidants	plant foods	in	PART-OF	[IN]	2
dump sentences\V-633_7_.txt	antioxidants	plant foods	in	PART-OF	[IN]	2
dump sentences\V-250_3_.txt	antioxidants	plant foods	in	PART-OF	[IN]	2
dump sentences\T-590_7_.txt	antioxidants	plant foods	in	PART-OF	[IN]	2
dump sentences\A-52_23_.txt	antioxidants	plant foods	in	PART-OF	[IN]	2
dump sentences\A-192_10_.txt	antioxidants	plant foods	in	PART-OF	[IN]	2
dump sentences\V-354_28_.txt	antioxidants	plant foods	in	PART-OF	[IN]	2
dump sentences\V-16_174_.txt	chemicals	meat	in	PART-OF	[IN]	2
dump sentences\A-190_54_.txt	chemicals	tumor growth	in	PART-OF	[IN]	2
dump sentences\T-1393_2_.txt	chemicals	cheese	in	PART-OF	[IN]	2
dump sentences\A-300_30_.txt	chemicals	eggs	in	PART-OF	[IN]	2
dump sentences\A-190_54_.txt	chemicals	tumor	in	PART-OF	[IN]	2
dump sentences\T-1886_6_.txt	chemicals	processed meat	in	PART-OF	[IN]	2
dump sentences\V-1221_5_.txt	corn syrup	soft drinks	in	PART-OF	[IN]	2
dump sentences\A-258_15_.txt	phytochemicals	grapefruit	in	PART-OF	[IN]	2
dump sentences\V-542_16_.txt	phytochemicals	grapefruit	in	PART-OF	[IN]	2
dump sentences\V-1069_9_.txt	antibiotic resistance	bacteria	in	PART-OF	[IN]	2
dump sentences\V-1168_75_.txt	vegetables	green	in	PART-OF	[IN]	2
dump sentences\T-1261_0_.txt	phytonutrient	green	in	PART-OF	[IN]	2
dump sentences\V-1168_75_.txt	cruciferous vegetables	green	in	PART-OF	[IN]	2
dump sentences\T-1580_11_.txt	hives	children	in	PART-OF	[IN]	2
dump sentences\A-199_13_.txt	contamination	poultry	in	PART-OF	[IN]	2
dump sentences\V-489_13_.txt	contamination	poultry	in	PART-OF	[IN]	2
